servert,return,case,BTC-USD,BTC-EUR,BCH-USD,BCH-EUR,BCH-BTC
1565915486704000.0,1.00036,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486867000.0,1.0004,3.0,0.0,1.0,0.0,-1.0,1.0
1565915486881000.0,1.00043,3.0,0.0,1.0,0.0,-1.0,1.0
1565915487693000.0,1.00047,3.0,0.0,1.0,0.0,-1.0,1.0
1565915487693000.0,1.00003,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915488150000.0,1.0005,3.0,0.0,1.0,0.0,-1.0,1.0
1565915488150000.0,1.00007,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915488740000.0,1.00054,3.0,0.0,1.0,0.0,-1.0,1.0
1565915488740000.0,1.00011,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915488221000.0,1.00057,3.0,0.0,1.0,0.0,-1.0,1.0
1565915488221000.0,1.00014,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915488337000.0,1.00061,3.0,0.0,1.0,0.0,-1.0,1.0
1565915488337000.0,1.00018,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915488640000.0,1.00036,3.0,0.0,1.0,0.0,-1.0,1.0
1565915488645000.0,1.0004,3.0,0.0,1.0,0.0,-1.0,1.0
1565915488699000.0,1.00043,3.0,0.0,1.0,0.0,-1.0,1.0
1565915488720000.0,1.00047,3.0,0.0,1.0,0.0,-1.0,1.0
1565915488720000.0,1.00003,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915488908000.0,1.0005,3.0,0.0,1.0,0.0,-1.0,1.0
1565915488908000.0,1.00007,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915488969000.0,1.00054,3.0,0.0,1.0,0.0,-1.0,1.0
1565915488969000.0,1.00011,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915489110000.0,1.00057,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489110000.0,1.00014,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915489560000.0,1.00061,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489560000.0,1.00018,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915489970000.0,1.00064,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489970000.0,1.00021,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915489110000.0,1.00068,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489110000.0,1.00025,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915489135000.0,1.00071,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489135000.0,1.00028,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915489148000.0,1.0004,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489161000.0,1.00075,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489161000.0,1.00032,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915489216000.0,1.00043,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489230000.0,1.00078,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489230000.0,1.00035,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915489251000.0,1.00082,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489251000.0,1.00039,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915489297000.0,1.00047,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489297000.0,1.00003,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915489309000.0,1.0005,3.0,0.0,1.0,0.0,-1.0,1.0
1565915489309000.0,1.00007,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915489674000.0,1.0004,3.0,0.0,1.0,0.0,-1.0,1.0
1565915490600000.0,1.00004,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915490440000.0,1.00043,3.0,0.0,1.0,0.0,-1.0,1.0
1565915490357000.0,1.00029,3.0,0.0,1.0,0.0,-1.0,1.0
1565915490688000.0,1.00033,3.0,0.0,1.0,0.0,-1.0,1.0
1565915490701000.0,1.00036,3.0,0.0,1.0,0.0,-1.0,1.0
1565915490708000.0,1.00026,3.0,0.0,1.0,0.0,-1.0,1.0
1565915491809000.0,1.00047,3.0,0.0,1.0,0.0,-1.0,1.0
1565915491913000.0,1.00032,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915491916000.0,1.0005,3.0,0.0,1.0,0.0,-1.0,1.0
1565915491978000.0,1.00054,3.0,0.0,1.0,0.0,-1.0,1.0
1565915491978000.0,1.00036,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492190000.0,1.00029,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492280000.0,1.00057,3.0,0.0,1.0,0.0,-1.0,1.0
1565915492280000.0,1.0004,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492670000.0,1.00011,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492940000.0,1.00003,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492102000.0,1.00014,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492128000.0,1.00061,3.0,0.0,1.0,0.0,-1.0,1.0
1565915492128000.0,1.00018,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492141000.0,1.00064,3.0,0.0,1.0,0.0,-1.0,1.0
1565915492141000.0,1.00021,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492144000.0,1.00066,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492165000.0,1.00047,3.0,0.0,1.0,0.0,-1.0,1.0
1565915492165000.0,1.00048,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492172000.0,1.0005,3.0,0.0,1.0,0.0,-1.0,1.0
1565915492172000.0,1.00052,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492267000.0,1.00054,3.0,0.0,1.0,0.0,-1.0,1.0
1565915492267000.0,1.00055,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492280000.0,1.00057,3.0,0.0,1.0,0.0,-1.0,1.0
1565915492280000.0,1.00059,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492852000.0,1.00051,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492857000.0,1.00062,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915492993000.0,1.00058,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493183000.0,1.00047,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493189000.0,1.00061,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493189000.0,1.00065,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493315000.0,1.0005,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493328000.0,1.00064,3.0,0.0,1.0,0.0,-1.0,1.0
