time_period,period_end_time,high,low,last,volume,spread,midpoint,liquidity_bid,liquidity_ask,volatility_mid_1min,volatility_mid_3min,volatility_last_1min,volatility_last_3min
112.0,6720000000.0,284.41,284.41,284.41,0.0,0.5299999999999727,283.625,97.84797412,37.102500770000006,0.0007066715710970872,0.0010035444791310231,0.0,0.0
113.0,6780000000.0,284.41,284.41,284.41,0.0,0.30000000000001137,283.72,71.13297412000001,25.82801371,0.0005469534542885183,0.0009584930321476345,0.0,0.0
114.0,6840000000.0,284.41,284.41,284.41,0.0,1.1499999999999773,284.045,394.41148382999995,31.050029759999997,0.0005372064572646008,0.0008748397267356482,0.0,0.0
115.0,6900000000.0,284.41,284.41,284.41,0.0,0.6499999999999773,283.885,149.44697412000005,44.075516820000004,0.0006046703399707729,0.0009453213325993822,0.0,0.0
116.0,6960000000.0,284.41,284.41,284.41,0.0,1.910000000000025,284.29499999999996,537.2504622199999,172.56787624,0.0005755848780586764,0.0010449005436533754,0.0,0.0
117.0,7020000000.0,284.41,284.41,284.41,0.0,0.9799999999999613,283.85,391.91948382999993,42.075516820000004,0.0007349971183403512,0.0012844817547262323,0.0,0.0
118.0,7080000000.0,284.41,284.41,284.41,0.0,1.3800000000000523,284.03,439.09048382999987,124.88251682,0.0008604346653808566,0.001174973607770531,0.0,0.0
119.0,7140000000.0,284.41,284.41,284.41,0.0,1.0399999999999636,283.87,392.4167041499999,31.34899017,0.0008304150319072462,0.0010168350247665924,0.0,0.0
120.0,7200000000.0,284.41,284.41,284.41,0.0,0.8299999999999841,283.83500000000004,305.88150385999995,44.475516819999996,0.0008553847814452306,0.0010050045367764144,0.0,0.0
121.0,7260000000.0,284.41,284.41,284.41,0.0,1.0299999999999727,284.065,396.98677575,44.18154602,0.0008519014874879622,0.000981372604142764,0.0,0.0
122.0,7320000000.0,284.99,284.99,284.99,0.03591709,1.6099999999999568,284.28499999999997,529.45471077,173.05354602,0.0008633531341673816,0.0009746544884542248,0.0,0.0
123.0,7380000000.0,284.99,284.99,284.99,0.0,1.1399999999999864,284.36,395.8526833299999,119.66754602,0.000879006250448045,0.0010257716098331323,0.0006117928342885102,0.0006117928342885102
124.0,7440000000.0,284.99,284.99,284.99,0.0,1.099999999999966,284.46000000000004,317.4868867899999,103.94154602,0.0008784388448015193,0.0010863494940500224,0.0006117928342885102,0.0008157237790513471
125.0,7500000000.0,284.99,284.99,284.99,0.0,1.1899999999999977,284.595,316.51161032999994,107.43601937000001,0.000826040301967501,0.0010849080933714732,0.0006117928342885102,0.0009345289909195577
126.0,7560000000.0,284.99,284.99,284.99,0.0,1.0500000000000114,284.54499999999996,293.83113041999985,103.94154602,0.0007949752591303428,0.0010911421223126195,0.0006117928342885102,0.0009345289909195577
127.0,7620000000.0,284.02,284.02,284.02,0.017999999999999995,0.5300000000000296,284.28499999999997,224.61602091,17.290546019999997,0.000693748108120402,0.0009871197032100764,0.0006117928342885102,0.0009345289909195578
128.0,7680000000.0,284.02,284.02,284.02,0.0,1.3600000000000136,284.07,443.39999479999994,108.43801937,0.0005513973578709602,0.0009788590211783096,0.0012472903176386897,0.0015272292378130567
